Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,29.200000762939453,34.150001525878906,28.700000762939453,32.79999923706055,18.071773529052734,4234175
2002-07-02,33.95000076293945,36.150001525878906,32.54999923706055,34.5,19.008419036865234,7207954
2002-07-03,34.5,36.349998474121094,33.79999923706055,34.099998474121094,18.788040161132812,3360296
2002-07-04,34.45000076293945,37.29999923706055,34.400001525878906,36.849998474121094,20.303194046020508,6018555
2002-07-05,37.45000076293945,38.20000076293945,34.599998474121094,34.75,19.146162033081055,5074650
2002-07-08,35.400001525878906,35.400001525878906,33.25,33.54999923706055,18.485002517700195,2521807
2002-07-09,33.54999923706055,34.0,32.75,33.04999923706055,18.209516525268555,1143977
2002-07-10,33.349998474121094,34.45000076293945,32.54999923706055,32.849998474121094,18.099323272705078,1456312
2002-07-11,33.349998474121094,33.54999923706055,30.049999237060547,31.950000762939453,17.603452682495117,1169168
2002-07-12,32.349998474121094,33.400001525878906,32.25,32.75,18.044225692749023,1269548
2002-07-15,33.0,33.20000076293945,31.049999237060547,31.600000381469727,17.410614013671875,788912
2002-07-16,31.700000762939453,32.45000076293945,30.600000381469727,31.399999618530273,17.300418853759766,1179003
2002-07-17,31.25,31.399999618530273,29.700000762939453,30.600000381469727,16.85964584350586,952265
2002-07-18,30.600000381469727,32.25,30.350000381469727,31.899999618530273,17.575902938842773,1298065
2002-07-19,32.150001525878906,33.25,31.299999237060547,32.0,17.630998611450195,3075627
2002-07-22,31.5,31.5,29.799999237060547,30.0,16.529064178466797,831364
2002-07-23,29.950000762939453,30.600000381469727,29.5,30.100000381469727,16.584163665771484,627307
2002-07-24,29.75,30.700000762939453,29.0,29.350000381469727,16.17093276977539,660931
2002-07-25,30.049999237060547,30.350000381469727,28.100000381469727,28.399999618530273,15.647513389587402,926270
2002-07-26,27.600000381469727,28.0,23.700000762939453,24.200000762939453,13.333441734313965,1651087
2002-07-29,24.950000762939453,25.0,21.299999237060547,22.799999237060547,12.562089920043945,2308365
2002-07-30,24.0,24.600000381469727,21.649999618530273,22.350000381469727,12.314153671264648,2031646
2002-07-31,20.75,23.399999618530273,19.5,22.350000381469727,12.314153671264648,1985962
2002-08-01,23.25,23.549999237060547,22.049999237060547,22.899999618530273,12.617185592651367,1644010
2002-08-02,21.600000381469727,23.350000381469727,21.600000381469727,23.0,12.672281265258789,1606177
2002-08-05,23.75,25.100000381469727,23.0,24.649999618530273,13.581382751464844,1480615
2002-08-06,23.950000762939453,25.200000762939453,23.799999237060547,24.649999618530273,13.581382751464844,2083592
2002-08-07,25.25,25.399999618530273,24.049999237060547,24.25,13.360992431640625,1160911
